Project,Source Repo,Source Sha,Dist Repo,Dist Sha,Status,Last Success Timestamp,Pkg NVR
puppet-panko,git://git.openstack.org/openstack/puppet-panko,9bb0b75adc8988baa8e2556e6bee0a19d918269c,https://github.com/rdo-packages/puppet-panko-distgit.git,9cdb1432fd35eebf0a16778a1512c31916f102f5,SUCCESS,1480671955,puppet-panko-9.0.0-0.20161202094606.9bb0b75.el7.centos
puppet-sahara,git://git.openstack.org/openstack/puppet-sahara,5f5f1e75963ef9f09f8f2e926b625268f53bc377,https://github.com/rdo-packages/puppet-sahara-distgit.git,8685451755d69d530a218b435a21d4bb3d6cf449,SUCCESS,1480634382,puppet-sahara-10.0.0-0.20161201232104.5f5f1e7.el7.centos
puppet-swift,git://git.openstack.org/openstack/puppet-swift,f8d488133e61f03006e3f1a521ad43cf75ab1c01,https://github.com/rdo-packages/puppet-swift-distgit.git,8d5e01a1f952551b07d8e42fdf3a80f63b0b51a3,SUCCESS,1480635801,puppet-swift-10.0.0-0.20161201234444.f8d4881.el7.centos
puppet-tempest,git://git.openstack.org/openstack/puppet-tempest,4262ca14d0484cc6922a0f4bd322d7405c90a993,https://github.com/rdo-packages/puppet-tempest-distgit.git,77c39b1c3f3cab5438388346ce6d206b6a4a29df,SUCCESS,1481048393,puppet-tempest-10.0.0-0.20161206182006.4262ca1.el7.centos
puppet-tripleo,git://git.openstack.org/openstack/puppet-tripleo,77c1ca1243fbc38210e9f6264c5c36b546d1a95a,https://github.com/rdo-packages/puppet-tripleo-distgit.git,34edda79ba7982aec58f12b7599401b78d12509f,SUCCESS,1480819158,puppet-tripleo-6.0.0-0.20161204023935.77c1ca1.el7.centos
puppet-trove,git://git.openstack.org/openstack/puppet-trove,a78d74811092794e438b31e6dff2b574f48aeb6a,https://github.com/rdo-packages/puppet-trove-distgit.git,d85d7bfcef3a3cdf06f6e4c8ddb84fce1bb2b63f,SUCCESS,1480473630,puppet-trove-10.0.0-0.20161130024158.a78d748.el7.centos
puppet-vswitch,git://git.openstack.org/openstack/puppet-vswitch,0b1ea47ed23f55c5df6ed30c58eadfc9eb82a1eb,https://github.com/rdo-packages/puppet-vswitch-distgit.git,51cc7ac5c3bde45c0428ae53f34b4879e2abfe6b,SUCCESS,1480632519,puppet-vswitch-6.0.0-0.20161201224850.0b1ea47.el7.centos
puppet-ceph,git://git.openstack.org/openstack/puppet-ceph,eeebef2558a396abb6e63e4749bfdb303346d6ab,https://github.com/rdo-packages/puppet-ceph-distgit.git,9593efd4f2dcd62fcfbe2bb9406318733dd04f18,SUCCESS,1480525779,puppet-ceph-2.2.1-0.20161130171108.eeebef2.el7.centos
puppet-n1k-vsm,git://git.openstack.org/openstack/puppet-n1k-vsm,91772fa53dd3ed2686d2e8b0303c77ea6faefe68,https://github.com/rdo-packages/puppet-n1k-vsm-distgit.git,f61e1a4b92edadbcbce50e29cd96167449589098,SUCCESS,1475527209,puppet-n1k-vsm-0.0.2-0.20161003204020.91772fa.el7.centos
puppet-mistral,git://git.openstack.org/openstack/puppet-mistral,972b2d319dc02e34bbecb0406c8cbdb5088fb3e2,https://github.com/rdo-packages/puppet-mistral-distgit.git,61e9bbf8fa4f89b81a4ccf25493ce6b002c8582d,SUCCESS,1480627108,puppet-mistral-10.0.0-0.20161201211956.972b2d3.el7.centos
puppet-zaqar,git://git.openstack.org/openstack/puppet-zaqar,a85d3bc12c4075971d71a839f031a308b4bf509d,https://github.com/rdo-packages/puppet-zaqar-distgit.git,4e0df25098e87934b2477ad62561c0ef48eb3ca2,SUCCESS,1480508682,puppet-zaqar-10.0.0-0.20161130122617.a85d3bc.el7.centos
puppet-apache,git://github.com/puppetlabs/puppetlabs-apache,498592d0e382be7d08f132200f0cf4bd03519de5,https://github.com/rdo-packages/puppet-apache-distgit.git,b048bf9b1aaa6961c8023446dd08c618b02dde86,SUCCESS,1480964640,puppet-apache-1.10.0-0.20161205190430.498592d.el7.centos
puppet-concat,git://github.com/puppetlabs/puppetlabs-concat,6466e9838a5c68f698b8c8ee297c167c3ec25ad8,https://github.com/rdo-packages/puppet-concat-distgit.git,b9cf849b8f695d7578f319236ca2365fabb860e2,SUCCESS,1481054137,puppet-concat-2.2.0-0.20161206195550.6466e98.el7.centos
puppet-firewall,git://github.com/puppetlabs/puppetlabs-firewall,379554b0f686cc6d7b8fcbea22d8715611f4b889,https://github.com/rdo-packages/puppet-firewall-distgit.git,04a38e11860e69c10c591c5620993be3beca9abb,SUCCESS,1481072343,puppet-firewall-1.8.1-0.20161207010042.379554b.el7.centos
puppet-haproxy,git://github.com/puppetlabs/puppetlabs-haproxy,cb0e28224c99dd04ffc1451b5d1db19c706ffe21,https://github.com/rdo-packages/puppet-haproxy-distgit.git,02ecce09b3646b520e262828dc7eb3720f1bd2c1,SUCCESS,1479843482,puppet-haproxy-1.5.0-0.20161122193813.cb0e282.el7.centos
puppet-corosync,git://github.com/puppet-community/puppet-corosync,915bb72ba481c2bf08d4c128e3ae89e69a8a6d43,https://github.com/rdo-packages/puppet-corosync-distgit.git,ed15b979a3fe51f613be4e0586c96a9dab6d59f0,SUCCESS,1477954515,puppet-corosync-5.0.0-0.20161031225526.915bb72.el7.centos
puppet-git,git://github.com/puppetlabs/puppetlabs-git,1c2e8c29ed31376c2e1af1d604b5e4e8b2e42739,https://github.com/rdo-packages/puppet-git-distgit.git,81217cbd7746f860474a7999319de40897b7b024,SUCCESS,1480541810,puppet-git-0.4.0-0.20161130213809.1c2e8c2.el7.centos
puppet-inifile,git://github.com/puppetlabs/puppetlabs-inifile,7fa6a3dccb69cf4f47ecb1d749c58ff222f274c2,https://github.com/rdo-packages/puppet-inifile-distgit.git,6bc339300269d80ee35fc68c42daaa0719b4995c,SUCCESS,1481072479,puppet-inifile-1.6.0-0.20161207010136.7fa6a3d.el7.centos
puppet-mongodb,git://github.com/puppetlabs/puppetlabs-mongodb,f28fc99837fc663635378e82588bda74a4867c07,https://github.com/rdo-packages/puppet-mongodb-distgit.git,041c57ac47826a632842f72d9f694583e1baaf97,SUCCESS,1480713432,puppet-mongodb-0.16.0-0.20161202211842.f28fc99.el7.centos
puppet-mysql,git://github.com/puppetlabs/puppetlabs-mysql,aee58f67a8bc921a306dc7defe1ac22992f20e49,https://github.com/rdo-packages/puppet-mysql-distgit.git,2a8d4c1cb29fd016d3c187ed993b2b9a638f839c,SUCCESS,1481072752,puppet-mysql-3.10.0-0.20161207010717.aee58f6.el7.centos
